PassengerId,Survived,Pclass,Sex,Age,Fare,Embarked,Title,FSize
76,0,3,1,25.0,7.65,2,12,0
77,0,3,1,29.881137667304014,7.8958,2,12,0
78,0,3,1,29.881137667304014,8.05,2,12,0
79,1,2,1,0.83,29.0,2,8,2
80,1,3,0,30.0,12.475,2,9,0
81,0,3,1,22.0,9.0,2,12,0
82,1,3,1,29.0,9.5,2,12,0
83,1,3,0,29.881137667304014,7.7875,1,9,0
84,0,1,1,28.0,47.1,2,12,0
85,1,2,0,17.0,10.5,2,9,0
86,1,3,0,33.0,15.85,2,13,3
87,0,3,1,16.0,34.375,2,12,4
88,0,3,1,29.881137667304014,8.05,2,12,0
89,1,1,0,23.0,263.0,2,9,5
90,0,3,1,24.0,8.05,2,12,0
91,0,3,1,29.0,8.05,2,12,0
92,0,3,1,20.0,7.8542,2,12,0
93,0,1,1,46.0,61.175,2,12,1
94,0,3,1,26.0,20.575,2,12,3
95,0,3,1,59.0,7.25,2,12,0
96,0,3,1,29.881137667304014,8.05,2,12,0
97,0,1,1,71.0,34.6542,0,12,0
98,1,1,1,23.0,63.3583,0,12,1
99,1,2,0,34.0,23.0,2,13,1
100,0,2,1,34.0,26.0,2,12,1
101,0,3,0,28.0,7.8958,2,9,0
102,0,3,1,29.881137667304014,7.8958,2,12,0
103,0,1,1,21.0,77.2875,2,12,1
104,0,3,1,33.0,8.6542,2,12,0
105,0,3,1,37.0,7.925,2,12,2
106,0,3,1,28.0,7.8958,2,12,0
107,1,3,0,21.0,7.65,2,9,0
108,1,3,1,29.881137667304014,7.775,2,12,0
109,0,3,1,38.0,7.8958,2,12,0
110,1,3,0,29.881137667304014,24.15,1,9,1
111,0,1,1,47.0,52.0,2,12,0
112,0,3,0,14.5,14.4542,0,9,1
113,0,3,1,22.0,8.05,2,12,0
114,0,3,0,20.0,9.825,2,9,1
115,0,3,0,17.0,14.4583,0,9,0
116,0,3,1,21.0,7.925,2,12,0
117,0,3,1,70.5,7.75,1,12,0
118,0,2,1,29.0,21.0,2,12,1
119,0,1,1,24.0,247.5208,0,12,1
120,0,3,0,2.0,31.275,2,9,6
121,0,2,1,21.0,73.5,2,12,2
122,0,3,1,29.881137667304014,8.05,2,12,0
123,0,2,1,32.5,30.0708,0,12,1
124,1,2,0,32.5,13.0,2,9,0
125,0,1,1,54.0,77.2875,2,12,1
126,1,3,1,12.0,11.2417,0,8,1
127,0,3,1,29.881137667304014,7.75,1,12,0
128,1,3,1,24.0,7.1417,2,12,0
129,1,3,0,29.881137667304014,22.3583,0,9,2
130,0,3,1,45.0,6.975,2,12,0
131,0,3,1,33.0,7.8958,0,12,0
132,0,3,1,20.0,7.05,2,12,0
133,0,3,0,47.0,14.5,2,13,1
134,1,2,0,29.0,26.0,2,13,1
135,0,2,1,25.0,13.0,2,12,0
136,0,2,1,23.0,15.0458,0,12,0
137,1,1,0,19.0,26.2833,2,9,2
138,0,1,1,37.0,53.1,2,12,1
139,0,3,1,16.0,9.2167,2,12,0
140,0,1,1,24.0,79.2,0,12,0
141,0,3,0,29.881137667304014,15.2458,0,13,2
142,1,3,0,22.0,7.75,2,9,0
143,1,3,0,24.0,15.85,2,13,1
144,0,3,1,19.0,6.75,1,12,0
145,0,2,1,18.0,11.5,2,12,0
146,0,2,1,19.0,36.75,2,12,2
147,1,3,1,27.0,7.7958,2,12,0
148,0,3,0,9.0,34.375,2,9,4
149,0,2,1,36.5,26.0,2,12,2
150,0,2,1,42.0,13.0,2,15,0
151,0,2,1,51.0,12.525,2,15,0
152,1,1,0,22.0,66.6,2,13,1
153,0,3,1,55.5,8.05,2,12,0
154,0,3,1,40.5,14.5,2,12,2
155,0,3,1,29.881137667304014,7.3125,2,12,0
156,0,1,1,51.0,61.3792,0,12,1
157,1,3,0,16.0,7.7333,1,9,0
158,0,3,1,30.0,8.05,2,12,0
159,0,3,1,29.881137667304014,8.6625,2,12,0
160,0,3,1,29.881137667304014,69.55,2,8,10
161,0,3,1,44.0,16.1,2,12,1
162,1,2,0,40.0,15.75,2,13,0
163,0,3,1,26.0,7.775,2,12,0
164,0,3,1,17.0,8.6625,2,12,0
165,0,3,1,1.0,39.6875,2,8,5
166,1,3,1,9.0,20.525,2,8,2
167,1,1,0,29.881137667304014,55.0,2,13,1
168,0,3,0,45.0,27.9,2,13,5
169,0,1,1,29.881137667304014,25.925,2,12,0
170,0,3,1,28.0,56.4958,2,12,0
171,0,1,1,61.0,33.5,2,12,0
172,0,3,1,4.0,29.125,1,8,5
173,1,3,0,1.0,11.1333,2,9,2
174,0,3,1,21.0,7.925,2,12,0
175,0,1,1,56.0,30.6958,0,12,0
176,0,3,1,18.0,7.8542,2,12,2
177,0,3,1,29.881137667304014,25.4667,2,8,4
178,0,1,0,50.0,28.7125,0,9,0
179,0,2,1,30.0,13.0,2,12,0
180,0,3,1,36.0,0.0,2,12,0
181,0,3,0,29.881137667304014,69.55,2,9,10
182,0,2,1,29.881137667304014,15.05,0,12,0
183,0,3,1,9.0,31.3875,2,8,6
184,1,2,1,1.0,39.0,2,8,3
185,1,3,0,4.0,22.025,2,9,2
186,0,1,1,29.881137667304014,50.0,2,12,0
187,1,3,0,29.881137667304014,15.5,1,13,1
188,1,1,1,45.0,26.55,2,12,0
189,0,3,1,40.0,15.5,1,12,2
190,0,3,1,36.0,7.8958,2,12,0
191,1,2,0,32.0,13.0,2,13,0
192,0,2,1,19.0,13.0,2,12,0
193,1,3,0,19.0,7.8542,2,9,1
194,1,2,1,3.0,26.0,2,8,2
195,1,1,0,44.0,27.7208,0,13,0
196,1,1,0,58.0,146.5208,0,9,0
197,0,3,1,29.881137667304014,7.75,1,12,0
198,0,3,1,42.0,8.4042,2,12,1
199,1,3,0,29.881137667304014,7.75,1,9,0
200,0,2,0,24.0,13.0,2,9,0
201,0,3,1,28.0,9.5,2,12,0
202,0,3,1,29.881137667304014,69.55,2,12,10
203,0,3,1,34.0,6.4958,2,12,0
204,0,3,1,45.5,7.225,0,12,0
205,1,3,1,18.0,8.05,2,12,0
206,0,3,0,2.0,10.4625,2,9,1
207,0,3,1,32.0,15.85,2,12,1
208,1,3,1,26.0,18.7875,0,12,0
209,1,3,0,16.0,7.75,1,9,0
210,1,1,1,40.0,31.0,0,12,0
211,0,3,1,24.0,7.05,2,12,0
212,1,2,0,35.0,21.0,2,9,0
213,0,3,1,22.0,7.25,2,12,0
214,0,2,1,30.0,13.0,2,12,0
215,0,3,1,29.881137667304014,7.75,1,12,1
216,1,1,0,31.0,113.275,0,9,1
217,1,3,0,27.0,7.925,2,9,0
218,0,2,1,42.0,27.0,2,12,1
219,1,1,0,32.0,76.2917,0,9,0
220,0,2,1,30.0,10.5,2,12,0
221,1,3,1,16.0,8.05,2,12,0
222,0,2,1,27.0,13.0,2,12,0
223,0,3,1,51.0,8.05,2,12,0
224,0,3,1,29.881137667304014,7.8958,2,12,0
225,1,1,1,38.0,90.0,2,12,1
226,0,3,1,22.0,9.35,2,12,0
227,1,2,1,19.0,10.5,2,12,0
228,0,3,1,20.5,7.25,2,12,0
229,0,2,1,18.0,13.0,2,12,0
230,0,3,0,29.881137667304014,25.4667,2,9,4
231,1,1,0,35.0,83.475,2,13,1
232,0,3,1,29.0,7.775,2,12,0
233,0,2,1,59.0,13.5,2,12,0
234,1,3,0,5.0,31.3875,2,9,6
235,0,2,1,24.0,10.5,2,12,0
236,0,3,0,29.881137667304014,7.55,2,9,0
237,0,2,1,44.0,26.0,2,12,1
238,1,2,0,8.0,26.25,2,9,2
239,0,2,1,19.0,10.5,2,12,0
240,0,2,1,33.0,12.275,2,12,0
241,0,3,0,29.881137667304014,14.4542,0,9,1
242,1,3,0,29.881137667304014,15.5,1,9,1
243,0,2,1,29.0,10.5,2,12,0
244,0,3,1,22.0,7.125,2,12,0
245,0,3,1,30.0,7.225,0,12,0
246,0,1,1,44.0,90.0,1,4,2
247,0,3,0,25.0,7.775,2,9,0
248,1,2,0,24.0,14.5,2,13,2
249,1,1,1,37.0,52.5542,2,12,2
250,0,2,1,54.0,26.0,2,15,1
251,0,3,1,29.881137667304014,7.25,2,12,0
252,0,3,0,29.0,10.4625,2,13,2
253,0,1,1,62.0,26.55,2,12,0
254,0,3,1,30.0,16.1,2,12,1
255,0,3,0,41.0,20.2125,2,13,2
256,1,3,0,29.0,15.2458,0,13,2
257,1,1,0,29.881137667304014,79.2,0,13,0
258,1,1,0,30.0,86.5,2,9,0
259,1,1,0,35.0,512.3292,0,9,0
260,1,2,0,50.0,26.0,2,13,1
261,0,3,1,29.881137667304014,7.75,1,12,0
262,1,3,1,3.0,31.3875,2,8,6
263,0,1,1,52.0,79.65,2,12,2
264,0,1,1,40.0,0.0,2,12,0
265,0,3,0,29.881137667304014,7.75,1,9,0
266,0,2,1,36.0,10.5,2,12,0
267,0,3,1,16.0,39.6875,2,12,5
268,1,3,1,25.0,7.775,2,12,1
269,1,1,0,58.0,153.4625,2,13,1
270,1,1,0,35.0,135.6333,2,9,0
271,0,1,1,29.881137667304014,31.0,2,12,0
272,1,3,1,25.0,0.0,2,12,0
273,1,2,0,41.0,19.5,2,13,1
274,0,1,1,37.0,29.7,0,12,1
275,1,3,0,29.881137667304014,7.75,1,9,0
276,1,1,0,63.0,77.9583,2,9,1
277,0,3,0,45.0,7.75,2,9,0
278,0,2,1,29.881137667304014,0.0,2,12,0
279,0,3,1,7.0,29.125,1,8,5
280,1,3,0,35.0,20.25,2,13,2
281,0,3,1,65.0,7.75,1,12,0
282,0,3,1,28.0,7.8542,2,12,0
283,0,3,1,16.0,9.5,2,12,0
284,1,3,1,19.0,8.05,2,12,0
285,0,1,1,29.881137667304014,26.0,2,12,0
286,0,3,1,33.0,8.6625,0,12,0
287,1,3,1,30.0,9.5,2,12,0
288,0,3,1,22.0,7.8958,2,12,0
289,1,2,1,42.0,13.0,2,12,0
290,1,3,0,22.0,7.75,1,9,0
291,1,1,0,26.0,78.85,2,9,0
292,1,1,0,19.0,91.0792,0,13,1
293,0,2,1,36.0,12.875,0,12,0
294,0,3,0,24.0,8.85,2,9,0
295,0,3,1,24.0,7.8958,2,12,0
296,0,1,1,29.881137667304014,27.7208,0,12,0
297,0,3,1,23.5,7.2292,0,12,0
298,0,1,0,2.0,151.55,2,9,3
299,1,1,1,29.881137667304014,30.5,2,12,0
300,1,1,0,50.0,247.5208,0,13,1
301,1,3,0,29.881137667304014,7.75,1,9,0
302,1,3,1,29.881137667304014,23.25,1,12,2
303,0,3,1,19.0,0.0,2,12,0
304,1,2,0,29.881137667304014,12.35,1,9,0
305,0,3,1,29.881137667304014,8.05,2,12,0
306,1,1,1,0.92,151.55,2,8,3
307,1,1,0,29.881137667304014,110.8833,0,9,0
308,1,1,0,17.0,108.9,0,13,1
309,0,2,1,30.0,24.0,0,12,1
310,1,1,0,30.0,56.9292,0,9,0
311,1,1,0,24.0,83.1583,0,9,0
312,1,1,0,18.0,262.375,0,9,4
313,0,2,0,26.0,26.0,2,13,2
314,0,3,1,28.0,7.8958,2,12,0
315,0,2,1,43.0,26.25,2,12,2
316,1,3,0,26.0,7.8542,2,9,0
317,1,2,0,24.0,26.0,2,13,1
318,0,2,1,54.0,14.0,2,4,0
319,1,1,0,31.0,164.8667,2,9,2
320,1,1,0,40.0,134.5,0,13,2
321,0,3,1,22.0,7.25,2,12,0
322,0,3,1,27.0,7.8958,2,12,0
323,1,2,0,30.0,12.35,1,9,0
324,1,2,0,22.0,29.0,2,13,2
325,0,3,1,29.881137667304014,69.55,2,12,10
326,1,1,0,36.0,135.6333,0,9,0
327,0,3,1,61.0,6.2375,2,12,0
328,1,2,0,36.0,13.0,2,13,0
329,1,3,0,31.0,20.525,2,13,2
330,1,1,0,16.0,57.9792,0,9,1
331,1,3,0,29.881137667304014,23.25,1,9,2
332,0,1,1,45.5,28.5,2,12,0
333,0,1,1,38.0,153.4625,2,12,1
334,0,3,1,16.0,18.0,2,12,2
335,1,1,0,29.881137667304014,133.65,2,13,1
336,0,3,1,29.881137667304014,7.8958,2,12,0
337,0,1,1,29.0,66.6,2,12,1
338,1,1,0,41.0,134.5,0,9,0
339,1,3,1,45.0,8.05,2,12,0
340,0,1,1,45.0,35.5,2,12,0
341,1,2,1,2.0,26.0,2,8,2
342,1,1,0,24.0,263.0,2,9,5
343,0,2,1,28.0,13.0,2,12,0
344,0,2,1,25.0,13.0,2,12,0
345,0,2,1,36.0,13.0,2,12,0
346,1,2,0,24.0,13.0,2,9,0
347,1,2,0,40.0,13.0,2,9,0
348,1,3,0,29.881137667304014,16.1,2,13,1
349,1,3,1,3.0,15.9,2,8,2
350,0,3,1,42.0,8.6625,2,12,0
351,0,3,1,23.0,9.225,2,12,0
352,0,1,1,29.881137667304014,35.0,2,12,0
353,0,3,1,15.0,7.2292,0,12,2
354,0,3,1,25.0,17.8,2,12,1
355,0,3,1,29.881137667304014,7.225,0,12,0
356,0,3,1,28.0,9.5,2,12,0
357,1,1,0,22.0,55.0,2,9,1
358,0,2,0,38.0,13.0,2,9,0
359,1,3,0,29.881137667304014,7.8792,1,9,0
360,1,3,0,29.881137667304014,7.8792,1,9,0
361,0,3,1,40.0,27.9,2,12,5
362,0,2,1,29.0,27.7208,0,12,1
363,0,3,0,45.0,14.4542,0,13,1
364,0,3,1,35.0,7.05,2,12,0
365,0,3,1,29.881137667304014,15.5,1,12,1
366,0,3,1,30.0,7.25,2,12,0
367,1,1,0,60.0,75.25,0,13,1
368,1,3,0,29.881137667304014,7.2292,0,13,0
369,1,3,0,29.881137667304014,7.75,1,9,0
370,1,1,0,24.0,69.3,0,11,0
371,1,1,1,25.0,55.4417,0,12,1
372,0,3,1,18.0,6.4958,2,12,1
373,0,3,1,19.0,8.05,2,12,0
374,0,1,1,22.0,135.6333,0,12,0
375,0,3,0,3.0,21.075,2,9,4
376,1,1,0,29.881137667304014,82.1708,0,13,1
377,1,3,0,22.0,7.25,2,9,0
378,0,1,1,27.0,211.5,0,12,2
379,0,3,1,20.0,4.0125,0,12,0
380,0,3,1,19.0,7.775,2,12,0
381,1,1,0,42.0,227.525,0,9,0
382,1,3,0,1.0,15.7417,0,9,2
383,0,3,1,32.0,7.925,2,12,0
384,1,1,0,35.0,52.0,2,13,1
385,0,3,1,29.881137667304014,7.8958,2,12,0
386,0,2,1,18.0,73.5,2,12,0
387,0,3,1,1.0,46.9,2,8,7
388,1,2,0,36.0,13.0,2,9,0
389,0,3,1,29.881137667304014,7.7292,1,12,0
390,1,2,0,17.0,12.0,0,9,0
391,1,1,1,36.0,120.0,2,12,3
392,1,3,1,21.0,7.7958,2,12,0
393,0,3,1,28.0,7.925,2,12,2
394,1,1,0,23.0,113.275,0,9,1
395,1,3,0,24.0,16.7,2,13,2
396,0,3,1,22.0,7.7958,2,12,0
397,0,3,0,31.0,7.8542,2,9,0
398,0,2,1,46.0,26.0,2,12,0
399,0,2,1,23.0,10.5,2,4,0
400,1,2,0,28.0,12.65,2,13,0
401,1,3,1,39.0,7.925,2,12,0
402,0,3,1,26.0,8.05,2,12,0
403,0,3,0,21.0,9.825,2,9,1
404,0,3,1,28.0,15.85,2,12,1
405,0,3,0,20.0,8.6625,2,9,0
406,0,2,1,34.0,21.0,2,12,1
407,0,3,1,51.0,7.75,2,12,0
408,1,2,1,3.0,18.75,2,8,2
409,0,3,1,21.0,7.775,2,12,0
410,0,3,0,29.881137667304014,25.4667,2,9,4
411,0,3,1,29.881137667304014,7.8958,2,12,0
412,0,3,1,29.881137667304014,6.8583,1,12,0
413,1,1,0,33.0,90.0,1,9,1
414,0,2,1,29.881137667304014,0.0,2,12,0
415,1,3,1,44.0,7.925,2,12,0
416,0,3,0,29.881137667304014,8.05,2,13,0
417,1,2,0,34.0,32.5,2,13,2
418,1,2,0,18.0,13.0,2,9,2
419,0,2,1,30.0,13.0,2,12,0
420,0,3,0,10.0,24.15,2,9,2
421,0,3,1,29.881137667304014,7.8958,0,12,0
422,0,3,1,21.0,7.7333,1,12,0
423,0,3,1,29.0,7.875,2,12,0
424,0,3,0,28.0,14.4,2,13,2
425,0,3,1,18.0,20.2125,2,12,2
426,0,3,1,29.881137667304014,7.25,2,12,0
427,1,2,0,28.0,26.0,2,13,1
428,1,2,0,19.0,26.0,2,9,0
429,0,3,1,29.881137667304014,7.75,1,12,0
430,1,3,1,32.0,8.05,2,12,0
431,1,1,1,28.0,26.55,2,12,0
432,1,3,0,29.881137667304014,16.1,2,13,1
433,1,2,0,42.0,26.0,2,13,1
434,0,3,1,17.0,7.125,2,12,0
435,0,1,1,50.0,55.9,2,12,1
436,1,1,0,14.0,120.0,2,9,3
437,0,3,0,21.0,34.375,2,9,4
438,1,2,0,24.0,18.75,2,13,5
439,0,1,1,64.0,263.0,2,12,5
440,0,2,1,31.0,10.5,2,12,0
441,1,2,0,45.0,26.25,2,13,2
442,0,3,1,20.0,9.5,2,12,0
443,0,3,1,25.0,7.775,2,12,1
444,1,2,0,28.0,13.0,2,14,0
445,1,3,1,29.881137667304014,8.1125,2,12,0
446,1,1,1,4.0,81.8583,2,8,2
447,1,2,0,13.0,19.5,2,9,1
448,1,1,1,34.0,26.55,2,12,0
449,1,3,0,5.0,19.2583,0,9,3
450,1,1,1,52.0,30.5,2,7,0
451,0,2,1,36.0,27.75,2,12,3
452,0,3,1,29.881137667304014,19.9667,2,12,1
453,0,1,1,30.0,27.75,0,12,0
454,1,1,1,49.0,89.1042,0,12,1
455,0,3,1,29.881137667304014,8.05,2,12,0
456,1,3,1,29.0,7.8958,0,12,0
457,0,1,1,65.0,26.55,2,12,0
458,1,1,0,29.881137667304014,51.8625,2,13,1
459,1,2,0,50.0,10.5,2,9,0
460,0,3,1,29.881137667304014,7.75,1,12,0
461,1,1,1,48.0,26.55,2,12,0
462,0,3,1,34.0,8.05,2,12,0
463,0,1,1,47.0,38.5,2,12,0
464,0,2,1,48.0,13.0,2,12,0
465,0,3,1,29.881137667304014,8.05,2,12,0
466,0,3,1,38.0,7.05,2,12,0
467,0,2,1,29.881137667304014,0.0,2,12,0
468,0,1,1,56.0,26.55,2,12,0
469,0,3,1,29.881137667304014,7.725,1,12,0
470,1,3,0,0.75,19.2583,0,9,3
471,0,3,1,29.881137667304014,7.25,2,12,0
472,0,3,1,38.0,8.6625,2,12,0
473,1,2,0,33.0,27.75,2,13,3
474,1,2,0,23.0,13.7917,0,13,0
475,0,3,0,22.0,9.8375,2,9,0
476,0,1,1,29.881137667304014,52.0,2,12,0
477,0,2,1,34.0,21.0,2,12,1
478,0,3,1,29.0,7.0458,2,12,1
479,0,3,1,22.0,7.5208,2,12,0
480,1,3,0,2.0,12.2875,2,9,1
481,0,3,1,9.0,46.9,2,8,7
482,0,2,1,29.881137667304014,0.0,2,12,0
483,0,3,1,50.0,8.05,2,12,0
484,1,3,0,63.0,9.5875,2,13,0
485,1,1,1,25.0,91.0792,0,12,1
486,0,3,0,29.881137667304014,25.4667,2,9,4
487,1,1,0,35.0,90.0,2,13,1
488,0,1,1,58.0,29.7,0,12,0
489,0,3,1,30.0,8.05,2,12,0
490,1,3,1,9.0,15.9,2,8,2
491,0,3,1,29.881137667304014,19.9667,2,12,1
492,0,3,1,21.0,7.25,2,12,0
493,0,1,1,55.0,30.5,2,12,0
494,0,1,1,71.0,49.5042,0,12,0
495,0,3,1,21.0,8.05,2,12,0
496,0,3,1,29.881137667304014,14.4583,0,12,0
497,1,1,0,54.0,78.2667,0,9,1
498,0,3,1,29.881137667304014,15.1,2,12,0
499,0,1,0,25.0,151.55,2,13,3
500,0,3,1,24.0,7.7958,2,12,0
501,0,3,1,17.0,8.6625,2,12,0
502,0,3,0,21.0,7.75,1,9,0
503,0,3,0,29.881137667304014,7.6292,1,9,0
504,0,3,0,37.0,9.5875,2,9,0
505,1,1,0,16.0,86.5,2,9,0
506,0,1,1,18.0,108.9,0,12,1
507,1,2,0,33.0,26.0,2,13,2
508,1,1,1,29.881137667304014,26.55,2,12,0
509,0,3,1,28.0,22.525,2,12,0
510,1,3,1,26.0,56.4958,2,12,0
511,1,3,1,29.0,7.75,1,12,0
512,0,3,1,29.881137667304014,8.05,2,12,0
513,1,1,1,36.0,26.2875,2,12,0
514,1,1,0,54.0,59.4,0,13,1
515,0,3,1,24.0,7.4958,2,12,0
516,0,1,1,47.0,34.0208,2,12,0
517,1,2,0,34.0,10.5,2,13,0
518,0,3,1,29.881137667304014,24.15,1,12,0
519,1,2,0,36.0,26.0,2,13,1
520,0,3,1,32.0,7.8958,2,12,0
521,1,1,0,30.0,93.5,2,9,0
522,0,3,1,22.0,7.8958,2,12,0
523,0,3,1,29.881137667304014,7.225,0,12,0
524,1,1,0,44.0,57.9792,0,13,1
525,0,3,1,29.881137667304014,7.2292,0,12,0
526,0,3,1,40.5,7.75,1,12,0
527,1,2,0,50.0,10.5,2,9,0
528,0,1,1,29.881137667304014,221.7792,2,12,0
529,0,3,1,39.0,7.925,2,12,0
530,0,2,1,23.0,11.5,2,12,3
531,1,2,0,2.0,26.0,2,9,2
532,0,3,1,29.881137667304014,7.2292,0,12,0
533,0,3,1,17.0,7.2292,0,12,2
534,1,3,0,29.881137667304014,22.3583,0,13,2
535,0,3,0,30.0,8.6625,2,9,0
536,1,2,0,7.0,26.25,2,9,2
537,0,1,1,45.0,26.55,2,7,0
538,1,1,0,30.0,106.425,0,9,0
539,0,3,1,29.881137667304014,14.5,2,12,0
540,1,1,0,22.0,49.5,0,9,2
541,1,1,0,36.0,71.0,2,9,2
542,0,3,0,9.0,31.275,2,9,6
543,0,3,0,11.0,31.275,2,9,6
544,1,2,1,32.0,26.0,2,12,1
545,0,1,1,50.0,106.425,0,12,1
546,0,1,1,64.0,26.0,2,12,0
547,1,2,0,19.0,26.0,2,13,1
548,1,2,1,29.881137667304014,13.8625,0,12,0
549,0,3,1,33.0,20.525,2,12,2
550,1,2,1,8.0,36.75,2,8,2
551,1,1,1,17.0,110.8833,0,12,2
552,0,2,1,27.0,26.0,2,12,0
553,0,3,1,29.881137667304014,7.8292,1,12,0
554,1,3,1,22.0,7.225,0,12,0
555,1,3,0,22.0,7.775,2,9,0
556,0,1,1,62.0,26.55,2,12,0
557,1,1,0,48.0,39.6,0,6,1
558,0,1,1,29.881137667304014,227.525,0,12,0
559,1,1,0,39.0,79.65,2,13,2
560,1,3,0,36.0,17.4,2,13,1
561,0,3,1,29.881137667304014,7.75,1,12,0
562,0,3,1,40.0,7.8958,2,12,0
563,0,2,1,28.0,13.5,2,12,0
564,0,3,1,29.881137667304014,8.05,2,12,0
565,0,3,0,29.881137667304014,8.05,2,9,0
566,0,3,1,24.0,24.15,2,12,2
567,0,3,1,19.0,7.8958,2,12,0
568,0,3,0,29.0,21.075,2,13,4
569,0,3,1,29.881137667304014,7.2292,0,12,0
570,1,3,1,32.0,7.8542,2,12,0
571,1,2,1,62.0,10.5,2,12,0
572,1,1,0,53.0,51.4792,2,13,2
573,1,1,1,36.0,26.3875,2,12,0
574,1,3,0,29.881137667304014,7.75,1,9,0
575,0,3,1,16.0,8.05,2,12,0
576,0,3,1,19.0,14.5,2,12,0
577,1,2,0,34.0,13.0,2,9,0
578,1,1,0,39.0,55.9,2,13,1
579,0,3,0,29.881137667304014,14.4583,0,13,1
580,1,3,1,32.0,7.925,2,12,0
581,1,2,0,25.0,30.0,2,9,2
582,1,1,0,39.0,110.8833,0,13,2
583,0,2,1,54.0,26.0,2,12,0
584,0,1,1,36.0,40.125,0,12,0
585,0,3,1,29.881137667304014,8.7125,0,12,0
586,1,1,0,18.0,79.65,2,9,2
587,0,2,1,47.0,15.0,2,12,0
588,1,1,1,60.0,79.2,0,12,2
589,0,3,1,22.0,8.05,2,12,0
590,0,3,1,29.881137667304014,8.05,2,12,0
591,0,3,1,35.0,7.125,2,12,0
592,1,1,0,52.0,78.2667,0,13,1
593,0,3,1,47.0,7.25,2,12,0
594,0,3,0,29.881137667304014,7.75,1,9,2
595,0,2,1,37.0,26.0,2,12,1
596,0,3,1,36.0,24.15,2,12,2
597,1,2,0,29.881137667304014,33.0,2,9,0
598,0,3,1,49.0,0.0,2,12,0
599,0,3,1,29.881137667304014,7.225,0,12,0
600,1,1,1,49.0,56.9292,0,16,1
601,1,2,0,24.0,27.0,2,13,3
